28,64,28,16,0,0,0
26,0,0,0,0,0,0
25,0,0,0,0,0,0
25,160,90,37,7,0,0
23,16,7,5,1,0,0
19,0,0,0,0,0,0
32,44,21,11,3,0,0
25,41,25,9,0,0,0
28,99,52,26,7,0,0
25,139,47,57,6,0,0
33,194,113,38,13,0,0
27,78,40,22,2,0,0
22,2,2,0,1,0,0
31,184,100,39,33,205,92
24,63,28,15,3,46,12
23,54,26,16,1,14,4
28,47,29,10,0,44,5
21,33,12,12,1,18,5
21,57,24,17,0,27,9
20,2,0,1,0,0,0
27,132,70,33,8,144,41
19,28,11,7,1,15,4
24,26,14,6,0,14,3
29,99,46,28,39,204,93
31,87,43,25,55,222,105
25,33,15,9,5,51,18
20,20,10,5,1,13,4
21,23,12,8,4,20,8
19,14,3,3,3,12,5
32,236,137,47,37,393,145
34,116,34,55,0,0,0
28,2,0,2,0,0,0
30,7,1,4,0,0,0
30,0,0,0,0,0,0
28,16,9,6,0,0,0
31,145,48,62,0,0,0
22,26,8,12,2,0,0
25,72,24,28,2,0,0
26,17,3,12,1,0,0
25,25,7,13,0,0,0
33,183,48,91,6,0,0
25,18,3,11,1,20,3
27,51,13,27,2,0,0
23,1,1,0,0,0,0
22,37,10,20,3,41,13
25,29,7,15,3,57,20
29,13,4,8,0,3,0
25,71,17,42,9,105,32
26,29,7,16,0,7,1
29,28,8,13,3,30,10
25,35,9,19,6,52,17
25,34,7,19,4,52,20
29,10,2,7,0,6,1
19,0,0,0,0,0,0
23,21,6,12,5,35,18
22,19,4,9,0,17,5
24,1,1,0,0,3,0
25,10,2,4,2,17,6
28,112,27,50,0,0,0
30,0,0,0,0,0,0
24,0,0,0,0,0,0
22,0,0,0,0,0,0
22,2,1,1,0,0,0
19,11,4,4,0,0,0
28,112,28,49,6,0,0
25,33,8,13,3,0,0
25,36,9,16,0,0,0
28,44,11,19,0,0,0
28,0,0,0,0,0,0
20,0,0,0,0,0,0
20,0,0,0,0,0,0
18,0,0,0,0,0,0
31,99,24,45,1,49,5
24,52,13,26,1,51,10
21,9,3,2,0,7,1
29,93,20,42,12,97,38
32,198,98,50,30,274,96
26,92,21,42,2,93,26
29,100,24,44,2,80,15
22,21,6,9,0,15,4
21,0,0,0,0,0,0
21,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
25,33,7,14,6,45,14
24,39,10,16,12,101,41
27,31,8,16,2,34,8
28,47,13,19,5,67,19
20,26,8,12,4,43,16
27,26,5,14,4,20,9
22,0,0,0,0,0,0
28,74,28,26,0,0,0
23,0,0,0,0,0,0
27,1,1,0,0,0,0
31,172,49,83,2,0,0
27,74,23,33,0,0,0
27,123,48,50,5,0,0
31,166,49,77,4,0,0
32,194,61,79,1,0,0
35,300,100,130,7,0,0
30,35,8,14,1,0,0
22,1,0,1,1,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
31,264,96,105,8,137,42
29,96,28,44,7,114,37
24,11,5,3,0,8,0
20,61,23,25,5,75,20
28,142,37,77,9,155,42
30,222,65,106,9,137,34
20,0,0,0,0,0,0
28,105,35,43,36,172,81
30,155,45,71,38,276,104
31,178,53,71,41,378,140
28,57,11,30,6,37,20
25,71,39,20,0,0,0
38,33,19,5,0,0,0
27,80,45,21,5,0,0
29,140,87,32,20,0,0
24,59,29,18,0,0,0
25,143,60,49,5,0,0
20,26,15,8,1,0,0
31,272,158,56,8,0,0
22,17,9,5,1,0,0
26,30,11,14,0,0,0
23,99,40,36,4,0,0
36,0,0,0,0,0,0
20,0,0,0,0,0,0
27,0,0,0,0,0,0
28,70,37,18,7,33,13
29,166,98,35,10,120,29
26,202,91,59,25,411,119
24,78,35,22,9,78,19
26,64,34,16,1,49,9
21,39,20,13,7,80,29
22,25,13,9,9,63,26
19,6,5,0,0,1,0
21,2,1,1,0,0,0
24,2,1,1,0,6,1
22,68,25,29,20,133,56
33,238,133,56,86,548,212
19,35,18,12,1,29,8
33,181,47,94,0,0,0
33,57,23,21,0,0,0
32,0,0,0,0,0,0
